Myers Diff,Histogram Diff,equal_diffs,file_path,is_code
"@@ -0,0 +1,3 @@
+<component name=""ProjectDictionaryState"">
+  <dictionary name=""fabian"" />
+</component>
\ No newline at end of file
","@@ -0,0 +1,3 @@
+<component name=""ProjectDictionaryState"">
+  <dictionary name=""fabian"" />
+</component>
\ No newline at end of file
",True,.idea/dictionaries/fabian.xml,False
"@@ -1,12 +0,0 @@
-# .. an example with a for loop ..
-
-
-@profile
-def my_func():
-    a = {}
-    for i in range(10000):
-        a[i] =  i + 1
-    return
-
-if __name__ == '__main__':
-    my_func()
","@@ -1,12 +0,0 @@
-# .. an example with a for loop ..
-
-
-@profile
-def my_func():
-    a = {}
-    for i in range(10000):
-        a[i] =  i + 1
-    return
-
-if __name__ == '__main__':
-    my_func()
",True,,False
"@@ -231,14 +231,14 @@ def show_results(prof, stream=None):
         # move everything one frame up
         keys = sorted(lines.keys())
 
+        k_old = keys[0] - 1
         lines_normalized[keys[0] - 1] = lines[keys[0]]
         k = keys.pop(0)
         while keys:
-            if len(lines[keys[0]]) > 1:
-                # .. inside a loop ..
-                lines_normalized[k] = lines[k]
-            else:
-                lines_normalized[k] = lines[keys[0]]
+            lines_normalized[k] = lines[keys[0]]
+            for i in range(len(lines_normalized[k_old]), len(lines_normalized[k])):
+                lines_normalized[k][i] = -1.
+            k_old = k
             k = keys.pop(0)
 
         first_line = sorted(lines_normalized.keys())[0]
@@ -254,6 +254,7 @@ def show_results(prof, stream=None):
                 inc = '{0:5.2f} MB'.format(inc)
             line = linecache.getline(filename, l)
             stream.write(template.format(l, mem, inc, line))
+        stream.write('\n')
 
 if __name__ == '__main__':
     from optparse import OptionParser
","@@ -231,14 +231,14 @@ def show_results(prof, stream=None):
         # move everything one frame up
         keys = sorted(lines.keys())
 
+        k_old = keys[0] - 1
         lines_normalized[keys[0] - 1] = lines[keys[0]]
         k = keys.pop(0)
         while keys:
-            if len(lines[keys[0]]) > 1:
-                # .. inside a loop ..
-                lines_normalized[k] = lines[k]
-            else:
-                lines_normalized[k] = lines[keys[0]]
+            lines_normalized[k] = lines[keys[0]]
+            for i in range(len(lines_normalized[k_old]), len(lines_normalized[k])):
+                lines_normalized[k][i] = -1.
+            k_old = k
             k = keys.pop(0)
 
         first_line = sorted(lines_normalized.keys())[0]
@@ -254,6 +254,7 @@ def show_results(prof, stream=None):
                 inc = '{0:5.2f} MB'.format(inc)
             line = linecache.getline(filename, l)
             stream.write(template.format(l, mem, inc, line))
+        stream.write('\n')
 
 if __name__ == '__main__':
     from optparse import OptionParser
",True,memory_profiler.py,True
"@@ -0,0 +1 @@
+__author__ = 'fabian'
","@@ -0,0 +1 @@
+__author__ = 'fabian'
",True,test/__init__.py,True
"@@ -0,0 +1,24 @@
+# .. an example with a for loop ..
+
+@profile
+def test_1():
+    a = [1] * (10 ** 6)
+    b = [2] * (2 * 10 ** 7)
+    del b
+
+    for i in range(2):
+        a = [1] * (10 ** 6)
+        b = [2] * (2 * 10 ** 7)
+        del b
+    return a
+
+@profile
+def test_2():
+    a = {}
+    for i in range(10000):
+        a[i] =  i + 1
+    return
+
+if __name__ == '__main__':
+    test_1()
+    test_2()
","@@ -0,0 +1,24 @@
+# .. an example with a for loop ..
+
+@profile
+def test_1():
+    a = [1] * (10 ** 6)
+    b = [2] * (2 * 10 ** 7)
+    del b
+
+    for i in range(2):
+        a = [1] * (10 ** 6)
+        b = [2] * (2 * 10 ** 7)
+        del b
+    return a
+
+@profile
+def test_2():
+    a = {}
+    for i in range(10000):
+        a[i] =  i + 1
+    return
+
+if __name__ == '__main__':
+    test_1()
+    test_2()
",True,test/test_loop.py,True
"@@ -0,0 +1,3 @@
+.idea
+dist
+*.pyc
","@@ -0,0 +1,3 @@
+.idea
+dist
+*.pyc
",True,.gitignore,False
"@@ -1,3 +0,0 @@
-<component name=""ProjectDictionaryState"">
-  <dictionary name=""fabian"" />
-</component>
\ No newline at end of file
","@@ -1,3 +0,0 @@
-<component name=""ProjectDictionaryState"">
-  <dictionary name=""fabian"" />
-</component>
\ No newline at end of file
",True,,False
"@@ -0,0 +1,14 @@
+
+@profile
+def test_1():
+    # .. will be called twice ..
+    a = 2.
+    b = 3
+    c = {}
+    for i in range(1000):
+        c[i] = 2
+    c[0] = 2.
+
+if __name__ == '__main__':
+    test_1()
+    test_1()
","@@ -0,0 +1,14 @@
+
+@profile
+def test_1():
+    # .. will be called twice ..
+    a = 2.
+    b = 3
+    c = {}
+    for i in range(1000):
+        c[i] = 2
+    c[0] = 2.
+
+if __name__ == '__main__':
+    test_1()
+    test_1()
",True,test/test_func.py,True
"@@ -266,6 +266,9 @@ if __name__ == '__main__':
 
     (options, args) = parser.parse_args()
 
+    # .. remove memory_profiler from sys.argv ..
+    sys.argv.pop(0)
+
     prof = LineProfiler()
     __file__ = _find_script(args[0])
     if sys.version_info[0] < 3:
","@@ -266,6 +266,9 @@ if __name__ == '__main__':
 
     (options, args) = parser.parse_args()
 
+    # .. remove memory_profiler from sys.argv ..
+    sys.argv.pop(0)
+
     prof = LineProfiler()
     __file__ = _find_script(args[0])
     if sys.version_info[0] < 3:
",True,memory_profiler.py,True
"@@ -2,12 +2,9 @@
 @profile
 def test_1():
     # .. will be called twice ..
-    a = 2.
-    b = 3
     c = {}
     for i in range(1000):
         c[i] = 2
-    c[0] = 2.
 
 if __name__ == '__main__':
     test_1()
","@@ -2,12 +2,9 @@
 @profile
 def test_1():
     # .. will be called twice ..
-    a = 2.
-    b = 3
     c = {}
     for i in range(1000):
         c[i] = 2
-    c[0] = 2.
 
 if __name__ == '__main__':
     test_1()
",True,test/test_func.py,True
