Old File Path,New File Path,Commit SHA,Parent Commit SHA,Commit Message,Histogram Diff
,.idea/dictionaries/fabian.xml,124d113eb8331703a15bd542feee0413eac1baf7,605fb322fabdd01cc2c7c0594a1ec508d873d29c,"FIX: second try at issue #8.

not perfect but makes more sense than previous solution.","@@ -0,0 +1,3 @@
+<component name=""ProjectDictionaryState"">
+  <dictionary name=""fabian"" />
+</component>
\ No newline at end of file
"
examples/example_loop.py,,124d113eb8331703a15bd542feee0413eac1baf7,605fb322fabdd01cc2c7c0594a1ec508d873d29c,"FIX: second try at issue #8.

not perfect but makes more sense than previous solution.","@@ -1,12 +0,0 @@
-# .. an example with a for loop ..
-
-
-@profile
-def my_func():
-    a = {}
-    for i in range(10000):
-        a[i] =  i + 1
-    return
-
-if __name__ == '__main__':
-    my_func()
"
memory_profiler.py,memory_profiler.py,124d113eb8331703a15bd542feee0413eac1baf7,605fb322fabdd01cc2c7c0594a1ec508d873d29c,"FIX: second try at issue #8.

not perfect but makes more sense than previous solution.","@@ -231,14 +231,14 @@ def show_results(prof, stream=None):
         # move everything one frame up
         keys = sorted(lines.keys())
 
+        k_old = keys[0] - 1
         lines_normalized[keys[0] - 1] = lines[keys[0]]
         k = keys.pop(0)
         while keys:
-            if len(lines[keys[0]]) > 1:
-                # .. inside a loop ..
-                lines_normalized[k] = lines[k]
-            else:
-                lines_normalized[k] = lines[keys[0]]
+            lines_normalized[k] = lines[keys[0]]
+            for i in range(len(lines_normalized[k_old]), len(lines_normalized[k])):
+                lines_normalized[k][i] = -1.
+            k_old = k
             k = keys.pop(0)
 
         first_line = sorted(lines_normalized.keys())[0]
@@ -254,6 +254,7 @@ def show_results(prof, stream=None):
                 inc = '{0:5.2f} MB'.format(inc)
             line = linecache.getline(filename, l)
             stream.write(template.format(l, mem, inc, line))
+        stream.write('\n')
 
 if __name__ == '__main__':
     from optparse import OptionParser
"
,test/__init__.py,124d113eb8331703a15bd542feee0413eac1baf7,605fb322fabdd01cc2c7c0594a1ec508d873d29c,"FIX: second try at issue #8.

not perfect but makes more sense than previous solution.","@@ -0,0 +1 @@
+__author__ = 'fabian'
"
,test/test_loop.py,124d113eb8331703a15bd542feee0413eac1baf7,605fb322fabdd01cc2c7c0594a1ec508d873d29c,"FIX: second try at issue #8.

not perfect but makes more sense than previous solution.","@@ -0,0 +1,24 @@
+# .. an example with a for loop ..
+
+@profile
+def test_1():
+    a = [1] * (10 ** 6)
+    b = [2] * (2 * 10 ** 7)
+    del b
+
+    for i in range(2):
+        a = [1] * (10 ** 6)
+        b = [2] * (2 * 10 ** 7)
+        del b
+    return a
+
+@profile
+def test_2():
+    a = {}
+    for i in range(10000):
+        a[i] =  i + 1
+    return
+
+if __name__ == '__main__':
+    test_1()
+    test_2()
"
,.gitignore,53af062ee9586e01485826f0ffd8ec836348a1fb,124d113eb8331703a15bd542feee0413eac1baf7,Add .gitignore,"@@ -0,0 +1,3 @@
+.idea
+dist
+*.pyc
"
.idea/dictionaries/fabian.xml,,bb95d3e19f8fc1900493bf3f11990c6e88a9323b,53af062ee9586e01485826f0ffd8ec836348a1fb,rm conf file,"@@ -1,3 +0,0 @@
-<component name=""ProjectDictionaryState"">
-  <dictionary name=""fabian"" />
-</component>
\ No newline at end of file
"
,test/test_func.py,1bf6a15af1c22a881fe5b4b17e27ee17f379d341,bb95d3e19f8fc1900493bf3f11990c6e88a9323b,Add test for function,"@@ -0,0 +1,14 @@
+
+@profile
+def test_1():
+    # .. will be called twice ..
+    a = 2.
+    b = 3
+    c = {}
+    for i in range(1000):
+        c[i] = 2
+    c[0] = 2.
+
+if __name__ == '__main__':
+    test_1()
+    test_1()
"
memory_profiler.py,memory_profiler.py,bfe4fc3f8a893c03abcef2b7730ddf7ed7a31c6f,1bf6a15af1c22a881fe5b4b17e27ee17f379d341,"FIX: sys.argv on executed scripts.

fixes issue #10","@@ -266,6 +266,9 @@ if __name__ == '__main__':
 
     (options, args) = parser.parse_args()
 
+    # .. remove memory_profiler from sys.argv ..
+    sys.argv.pop(0)
+
     prof = LineProfiler()
     __file__ = _find_script(args[0])
     if sys.version_info[0] < 3:
"
test/test_func.py,test/test_func.py,a9b5c4799d47deb89006a018c67c999e87a7cfb1,bfe4fc3f8a893c03abcef2b7730ddf7ed7a31c6f,update test,"@@ -2,12 +2,9 @@
 @profile
 def test_1():
     # .. will be called twice ..
-    a = 2.
-    b = 3
     c = {}
     for i in range(1000):
         c[i] = 2
-    c[0] = 2.
 
 if __name__ == '__main__':
     test_1()
"
memory_profiler.py,memory_profiler.py,307f0c0c953349aec05f9c559e02ed4ac4b15e0a,a9b5c4799d47deb89006a018c67c999e87a7cfb1,"another release

![yay](http://cf2.8tracks.us/mix_covers/000/045/290/4833989106.max200.jpg)","@@ -1,6 +1,6 @@
 """"""Get process information""""""
 
-__version__ = '0.12'
+__version__ = '0.13'
 
 _CMD_USAGE = ""python -m memory_profiler script_file.py""
 
@@ -16,8 +16,7 @@ try:
 
 except ImportError:
 
-    warnings.warn(""psutil module not found. This module provides ""
-                  ""speed enhacements and windows support"")
+    warnings.warn(""psutil module not found. memory_profiler will be slow"")
 
     import subprocess
     if os.name == 'posix':
"
memory_profiler.py,memory_profiler.py,c08deaa9c859a912c40e9a1213a9d4b29b411b41,307f0c0c953349aec05f9c559e02ed4ac4b15e0a,Cleanup,"@@ -142,7 +142,6 @@ class LineProfiler:
         try:
             code = func.__code__
         except AttributeError:
-            import warnings
             warnings.warn(""Could not extract a code object for the object {0!r}""
                             .format(func))
             return
@@ -180,8 +179,7 @@ class LineProfiler:
 
     def trace_memory_usage(self, frame, event, arg):
 
-        if event in ('line', 'return'):
-            if frame.f_code in self.code_map:
+        if event in ('line', 'return') and frame.f_code in self.code_map:
                 lineno = frame.f_lineno
                 if event == 'return':
                     lineno += 1
@@ -219,8 +217,7 @@ def show_results(prof, stream=None):
             # .. measurements are empty ..
             continue
         filename = code.co_filename
-        if (filename.endswith("".pyc"") or
-            filename.endswith("".pyo"")):
+        if filename.endswith(("".pyc"", "".pyo"")):
             filename = filename[:-1]
         all_lines = linecache.getlines(filename)
         sub_lines = inspect.getblock(all_lines[code.co_firstlineno-1:])
"
memory_profiler.py,memory_profiler.py,ec3ad5298cc1d9db9fe27920e3eb8d216c3d80da,ddb32317b4f81d26f397f884beadaba05adefc94,Use cached lines,"@@ -239,7 +239,7 @@ def show_results(prof, stream=None):
 
         first_line = sorted(lines_normalized.keys())[0]
         mem_old = max(lines_normalized[first_line])
-        for l in linenos:
+        for i, l in enumerate(linenos):
             mem = ''
             inc = ''
             if l in lines_normalized:
@@ -248,8 +248,7 @@ def show_results(prof, stream=None):
                 mem_old = mem
                 mem = '{0:5.2f} MB'.format(mem)
                 inc = '{0:5.2f} MB'.format(inc)
-            line = linecache.getline(filename, l)
-            stream.write(template.format(l, mem, inc, line))
+            stream.write(template.format(l, mem, inc, sub_lines[i]))
         stream.write('\n')
 
 if __name__ == '__main__':
"
.gitignore,.gitignore,40b034c359e00e904df1c7441bf9de4affe4ee8e,ec3ad5298cc1d9db9fe27920e3eb8d216c3d80da,Add MANIFEST got .gitignore,"@@ -1,3 +1,4 @@
 .idea
 dist
 *.pyc
+MANIFEST
"
README.rst,README.rst,c2a644b71c70ce5bab455ff14dde2a1869ea1c9f,40b034c359e00e904df1c7441bf9de4affe4ee8e,Update README,"@@ -91,8 +91,7 @@ the code that has been profiled.
  Support, bugs & wish list
 ===========================
 For support, please ask your question on `stack overflow
-<http://stackoverflow.com/>`_ and tag it with the *memory-profiler*
-keyword.
+<http://stackoverflow.com/>`_ and add the *profiling* tag.
 Send issues, proposals, etc. to `github's issue tracker
 <https://github.com/fabianp/memory_profiler/issues>`_ .
 
"
memory_profiler.py,memory_profiler.py,78bc76a3db5fa509ad71df83c9332bf76e73b710,c2a644b71c70ce5bab455ff14dde2a1869ea1c9f,New release,"@@ -1,6 +1,6 @@
 """"""Get process information""""""
 
-__version__ = '0.13'
+__version__ = '0.14'
 
 _CMD_USAGE = ""python -m memory_profiler script_file.py""
 
"
memory_profiler.py,memory_profiler.py,ad3042b32a917eb435a1bc5f594797b31deb0ee6,40b034c359e00e904df1c7441bf9de4affe4ee8e,Better debugging when filename is not found.,"@@ -207,9 +207,6 @@ def show_results(prof, stream=None):
     if stream is None:
         stream = sys.stdout
     template = '{0:>6} {1:>12} {2:>10}   {3:<}'
-    header = template.format('Line #', 'Mem usage', 'Increment', 'Line Contents')
-    stream.write(header + '\n')
-    stream.write('=' * len(header) + '\n')
 
     for code in prof.code_map:
         lines = prof.code_map[code]
@@ -219,11 +216,18 @@ def show_results(prof, stream=None):
         filename = code.co_filename
         if filename.endswith(("".pyc"", "".pyo"")):
             filename = filename[:-1]
+        stream.write('Filename: ' + filename + '\n\n')
+        if not os.path.exists(filename):
+            stream.write('ERROR: Could not find file ' + filenam + '\n')
+            continue
         all_lines = linecache.getlines(filename)
         sub_lines = inspect.getblock(all_lines[code.co_firstlineno-1:])
         linenos = range(code.co_firstlineno, code.co_firstlineno + len(sub_lines))
         lines_normalized = {}
 
+        header = template.format('Line #', 'Mem usage', 'Increment', 'Line Contents')
+        stream.write(header + '\n')
+        stream.write('=' * len(header) + '\n')
         # move everything one frame up
         keys = sorted(lines.keys())
 
@@ -249,7 +253,7 @@ def show_results(prof, stream=None):
                 mem = '{0:5.2f} MB'.format(mem)
                 inc = '{0:5.2f} MB'.format(inc)
             stream.write(template.format(l, mem, inc, sub_lines[i]))
-        stream.write('\n')
+        stream.write('\n\n')
 
 if __name__ == '__main__':
     from optparse import OptionParser
"
memory_profiler.py,memory_profiler.py,5887e96c69615bba60008db19b70a04c2db46efe,0091f03887ac881c4c73981d7b72e893d6f4122c,"PEP8, typo fixes","@@ -1,11 +1,15 @@
-""""""Get process information""""""
+""""""Profile the memory usage of a Python program""""""
 
 __version__ = '0.14'
 
 _CMD_USAGE = ""python -m memory_profiler script_file.py""
 
-import time, sys, os, warnings
-import linecache, inspect
+import time
+import sys
+import os
+import warnings
+import linecache
+import inspect
 
 try:
     import psutil
@@ -36,7 +40,8 @@ except ImportError:
     else:
         raise NotImplementedError('The psutil module is required for non-unix platforms')
 
-def memory_usage(proc= -1, num= -1, interval=.1):
+
+def memory_usage(proc=-1, num=-1, interval=.1):
     """"""
     Return the memory usage of a process or piece of code
 
@@ -70,6 +75,7 @@ def memory_usage(proc= -1, num= -1, interval=.1):
         filename = _find_script(proc)
         with open(filename) as f:
             proc = f.read()
+
         # TODO: make sure script's directory is on sys.path
         def f_exec(x, locals):
             # function interface for exec
@@ -84,7 +90,7 @@ def memory_usage(proc= -1, num= -1, interval=.1):
             proc = (proc[0], proc[1], {})
         p = Process(target=proc[0], args=proc[1], kwargs=proc[2])
         p.start()
-        while p.is_alive(): # FIXME: or num
+        while p.is_alive():  # FIXME: or num
             ret.append(_get_memory(p.pid))
             time.sleep(interval)
     else:
@@ -100,6 +106,7 @@ def memory_usage(proc= -1, num= -1, interval=.1):
 # ..
 # .. utility functions for line-by-line ..
 
+
 def _find_script(script_name):
     """""" Find the script.
 
@@ -202,6 +209,7 @@ class LineProfiler:
         self.last_time = {}
         sys.settrace(None)
 
+
 def show_results(prof, stream=None):
 
     if stream is None:
@@ -218,14 +226,16 @@ def show_results(prof, stream=None):
             filename = filename[:-1]
         stream.write('Filename: ' + filename + '\n\n')
         if not os.path.exists(filename):
-            stream.write('ERROR: Could not find file ' + filenam + '\n')
+            stream.write('ERROR: Could not find file ' + filename + '\n')
             continue
         all_lines = linecache.getlines(filename)
-        sub_lines = inspect.getblock(all_lines[code.co_firstlineno-1:])
-        linenos = range(code.co_firstlineno, code.co_firstlineno + len(sub_lines))
+        sub_lines = inspect.getblock(all_lines[code.co_firstlineno - 1:])
+        linenos = range(code.co_firstlineno, code.co_firstlineno +
+                        len(sub_lines))
         lines_normalized = {}
 
-        header = template.format('Line #', 'Mem usage', 'Increment', 'Line Contents')
+        header = template.format('Line #', 'Mem usage', 'Increment',
+                                 'Line Contents')
         stream.write(header + '\n')
         stream.write('=' * len(header) + '\n')
         # move everything one frame up
@@ -236,7 +246,8 @@ def show_results(prof, stream=None):
         k = keys.pop(0)
         while keys:
             lines_normalized[k] = lines[keys[0]]
-            for i in range(len(lines_normalized[k_old]), len(lines_normalized[k])):
+            for i in range(len(lines_normalized[k_old]),
+                           len(lines_normalized[k])):
                 lines_normalized[k][i] = -1.
             k_old = k
             k = keys.pop(0)
@@ -277,6 +288,7 @@ if __name__ == '__main__':
     else:
         import builtins
         builtins.__dict__['profile'] = prof
-        exec(compile(open(__file__).read(), __file__, 'exec'), locals(), globals())
+        exec(compile(open(__file__).read(), __file__, 'exec'), locals(),
+                                                               globals())
 
     show_results(prof)
"
