commit_hash,message,parents,is_merge,modified_files,Rectifier_Needed,LLM_Prediction,Rectified_Message
e89dd84ac491e9f838f2ea30d57030ad31626ed8,Initial import,[],False,"['README', 'examples/plot_memory.py', 'minimon.py']",No,No,Initial import
d90221d73ab3ddd0c4838fb611e57793e7302ed4,Update example.,['e89dd84ac491e9f838f2ea30d57030ad31626ed8'],False,"['README', 'examples/plot_memory.py']",Yes,Yes,Update applied: Update example.
afdbc15735e1d2b50ccf00d58bb108f63d3bfbb5,update,['d90221d73ab3ddd0c4838fb611e57793e7302ed4'],False,"['examples/plot_memory.py', 'minimon.py']",Yes,Yes,Update applied: update
fa3859aa878bc9060175a92e456d36d20294e45f,Update minimon.py,['afdbc15735e1d2b50ccf00d58bb108f63d3bfbb5'],False,['minimon.py'],Yes,Yes,Update applied: Update minimon.py
7c4562d91950203b9e364c9fe08e77509efc9e17,more,['fa3859aa878bc9060175a92e456d36d20294e45f'],False,"['examples/plot_memory.py', 'minimon.py']",No,No,more
1ea6f64e83226cd9097252bbff5393bc6e8e59ab,Line-by-line sort of works.,['7c4562d91950203b9e364c9fe08e77509efc9e17'],False,"['minimon.py', 'test.py']",No,No,Line-by-line sort of works.
9a7e1dd6ff05842f2904f8ba51198774094b0963,more,['1ea6f64e83226cd9097252bbff5393bc6e8e59ab'],False,"['minimon.py', 'test.py']",No,No,more
a9e839aedf06a619dcd391c0ee5c760edb426aed,more,['9a7e1dd6ff05842f2904f8ba51198774094b0963'],False,"['minimon.py', 'test.py']",No,No,more
4b85f04d7b628513dd027c7f9a0d87626aeca75d,Refactoring,['a9e839aedf06a619dcd391c0ee5c760edb426aed'],False,"['README.rst', 'memory_profiler.py', 'setup.py']",No,No,Refactoring
28b55bcdd9d8a963dbc6ce8bd0ce594426a6a024,Support for callable function.,['4b85f04d7b628513dd027c7f9a0d87626aeca75d'],False,['memory_profiler.py'],No,No,Support for callable function.
695c56cf2da7218c6fed3a74456a14c9ff5c7691,Use find_script,['28b55bcdd9d8a963dbc6ce8bd0ce594426a6a024'],False,['memory_profiler.py'],No,No,Use find_script
95e549c94ff035091464b832f56454da33e4af81,version 0.1,['695c56cf2da7218c6fed3a74456a14c9ff5c7691'],False,['memory_profiler.py'],No,No,version 0.1
76745998505624f470a87799a9a73cc4d9627c5f,use @profile,['95e549c94ff035091464b832f56454da33e4af81'],False,['memory_profiler.py'],No,No,use @profile
8800fe9252802753643a0e48de52c9d8d12f52f6,Port to OSX and other fixes,['76745998505624f470a87799a9a73cc4d9627c5f'],False,"['examples/plot_memory.py', 'memory_profiler.py']",Yes,Yes,Bug fix: Port to OSX and other fixes
8fc520062c6fc69ad3e2a7599786430ecc816b1b,Make a decent README,['8800fe9252802753643a0e48de52c9d8d12f52f6'],False,"['README.rst', 'examples/example.py', 'memory_profiler.py', 'test.py']",No,No,Make a decent README
867209c2d680a4d29d0f297e9648f956a0d2a3fc,Better output,['8fc520062c6fc69ad3e2a7599786430ecc816b1b'],False,"['README.rst', 'memory_profiler.py']",No,No,Better output
8af133fea446421398a575faa8ec1b73e70fc632,Update README,['867209c2d680a4d29d0f297e9648f956a0d2a3fc'],False,['README.rst'],Yes,Yes,Update applied: Update README
c953ca4a9df3a3321166803752608b70e2f2632a,FIX: display last statement,['8af133fea446421398a575faa8ec1b73e70fc632'],False,['memory_profiler.py'],Yes,Yes,Bug fix: FIX: display last statement
