old_file path,new_file path,commit SHA,parent commit SHA,commit message,diff_myers,diff_hist
README.md,README.md,f34253f672793b1fe5007a9f7c365436f5d3c6dc,418d8f57847b9cff06d9381ffbeb394fcf6b3625,Initial commit,175,1
README.md,README.md,fa6df265c5eb9cfb542a9ccca42d9aecd7585706,418d8f57847b9cff06d9381ffbeb394fcf6b3625,Initial commit,177,2
README.md,README.md,a897db4897de6508529940d8310e5c9d8059c212,fa6df265c5eb9cfb542a9ccca42d9aecd7585706,clean up,106,65
README.md,README.md,43462b36ef8b385f983e8bed5fff88cc7817cf1a,a897db4897de6508529940d8310e5c9d8059c212,update,34,5
README.md,README.md,2cafcced64dc7bf6021707ad5dca009b6c8dfd86,43462b36ef8b385f983e8bed5fff88cc7817cf1a,Update README.md,2,0
README.md,README.md,82daabda0bd7a37d95a33ebe56bb213a5689064c,2cafcced64dc7bf6021707ad5dca009b6c8dfd86,Update README.md,1,1
README.md,README.md,c9089e4c5c8eb4541847efee4a3776c018ff34df,82daabda0bd7a37d95a33ebe56bb213a5689064c,Update README.md,2,0
README.md,README.md,f59d092b599645b05704038089023b9e62f70c07,789a81071e1e236a2e8892280c9845ecec22a9ad,update,1,56
README.md,README.md,a9700ed9075f20af8d8a55e9acc71f71c0f4b99e,f59d092b599645b05704038089023b9e62f70c07,Update README.md,1,0
README.md,README.md,57ad4db020b4a8225e8e7d743b9886f6ee639fff,43462b36ef8b385f983e8bed5fff88cc7817cf1a,update,5,0
README.md,README.md,9067984bbe291e9e0ab530e1b5ac50fdb2f69657,ea8f146a0e4ec4e728dc7a2d9be9a163243275b4,update,0,4
README.md,README.md,0411d11dbd883dda1d2a5786ac0f35f17b7e73a3,9067984bbe291e9e0ab530e1b5ac50fdb2f69657,update,1,11
README.md,README.md,c425964243d7a2e0f386a05045b180518fbbf8ae,0411d11dbd883dda1d2a5786ac0f35f17b7e73a3,update,3,0
README.md,README.md,2ab429ddd7c1deb7329cab40e40112cbd6887e2e,c425964243d7a2e0f386a05045b180518fbbf8ae,update,6,0
README.md,README.md,ec49da9cc9c30e8acef4b6182f7279314f7793cf,2ab429ddd7c1deb7329cab40e40112cbd6887e2e,update,10,2
README.md,README.md,1f7d0a3530208ac098b472c47b3158923a5bc27f,ec49da9cc9c30e8acef4b6182f7279314f7793cf,new papers,14,1
README.md,README.md,2d32150175621ab6700c746e0d352cbd3d98c69a,1f7d0a3530208ac098b472c47b3158923a5bc27f,update,22,7
README.md,README.md,81759004b0d78c71ae528e4d1dbdda4d519cc407,2d32150175621ab6700c746e0d352cbd3d98c69a,enw paper,7,1
README.md,README.md,b041657c823bbecfdb69a75dc6e6e4deb10c97dc,81759004b0d78c71ae528e4d1dbdda4d519cc407,Update README.md,0,11
README.md,README.md,f1e55d1f163c2b526cf4f6c3048d8f1b61f33e48,b041657c823bbecfdb69a75dc6e6e4deb10c97dc,new papers,11,3
README.md,README.md,9c765fc5fa908a7cf32802fb29ac7f673d9e6c2f,f1e55d1f163c2b526cf4f6c3048d8f1b61f33e48,new papers,3,0
README.md,README.md,b441c59e217b6196f30d368d23b816eaffc1b451,9c765fc5fa908a7cf32802fb29ac7f673d9e6c2f,new papers,7,1
README.md,README.md,93fc99b98099ad82d91f4d15d528853286bf2ee5,b441c59e217b6196f30d368d23b816eaffc1b451,new papers,6,0
README.md,README.md,30a21de3a3df4367bd17e3c9622e746aee45e63d,93fc99b98099ad82d91f4d15d528853286bf2ee5,new papers,6,1
README.md,README.md,0a56084280a74e0730cee08d39bdfbc70b662bbb,30a21de3a3df4367bd17e3c9622e746aee45e63d,"Added paper on binary analysis

Added ""Revisiting Binary Code Similarity Analysis using Interpretable Feature Engineering and Lessons Learned"" paper on binary analysis",1,0
README.md,README.md,d984b3d10903d695a4fca411965c35b1f8c5ebcc,ccf2ccdb3ce40e460f06f8e0cb1340ed58b0f87c,"new reads, new unreads",42,10
README.md,README.md,47d9b73e7c870131c8933a3b6ee7406e12b9ae91,d984b3d10903d695a4fca411965c35b1f8c5ebcc,new papers,16,1
README.md,README.md,fe843efa1dccfea15a792a0d02782a980da879a8,47d9b73e7c870131c8933a3b6ee7406e12b9ae91,added new papers,11,3
README.md,README.md,a14ae1bb473d9e5b456770ef986d96f2986fa3af,fe843efa1dccfea15a792a0d02782a980da879a8,Added 2 recent surveys,2,0
README.md,README.md,819c3be259ff16792575bc8bdf33a21842b9b35d,fe843efa1dccfea15a792a0d02782a980da879a8,added new papers,16,0
README.md,README.md,1e11d139cbbc5a1fddb36a86580380b381177d9e,eabb7c9fc79a408ab9abdcfeaf6cd176afa73b89,update,3,0
README.md,README.md,369fd33277a97e6613a0403175524bbc8a9df5bc,1e11d139cbbc5a1fddb36a86580380b381177d9e,smol update,17,1
README.md,README.md,16d75528e0531bd99ebfa124fa7fa8200f7984fd,369fd33277a97e6613a0403175524bbc8a9df5bc,smol update,17,9
README.md,README.md,79aded34be8b759ed3ee777fdd5920e22fc255ca,16d75528e0531bd99ebfa124fa7fa8200f7984fd,new papers,16,0
README.md,README.md,a6412a46d737a1b1c08bd827dfacf7c793dfbe6f,79aded34be8b759ed3ee777fdd5920e22fc255ca,new papers,11,0
README.md,README.md,352bf02e9d3a5948f99a32cce4f18c4117495dd4,a6412a46d737a1b1c08bd827dfacf7c793dfbe6f,new papers,6,0
README.md,README.md,84584e1edc4bced53d2d0cb9da53dde8cfd22a71,352bf02e9d3a5948f99a32cce4f18c4117495dd4,new papers,29,1
README.md,README.md,b4ce13702cc6c54ed0a50a4746b953ed184ba444,84584e1edc4bced53d2d0cb9da53dde8cfd22a71,new papers,33,2
README.md,README.md,f3ef1ed36fe8fcc527a0752caa639a5425f32296,b4ce13702cc6c54ed0a50a4746b953ed184ba444,new papers,19,0
README.md,README.md,9673ae868c20a01afe464216431286f4162055b3,f3ef1ed36fe8fcc527a0752caa639a5425f32296,new papers,20,1
README.md,README.md,63e346efafd0f0c5c82a76941028592005805bff,9673ae868c20a01afe464216431286f4162055b3,fix entries,3,3
README.md,README.md,395e81ba0251aab8ae5c0885bdc214c9ffcd8d44,63e346efafd0f0c5c82a76941028592005805bff,new papers,21,3
README.md,README.md,73fe43c0872ea437e79f5b7ad7b9c4daacee8db9,395e81ba0251aab8ae5c0885bdc214c9ffcd8d44,Update README.md,1,1
README.md,README.md,0cd938413618777e46e7c08291b6d81941b51d25,395e81ba0251aab8ae5c0885bdc214c9ffcd8d44,new papers,14,0
README.md,README.md,b76e6fa2104e7c9acb4509caebfb3174dbc7457b,4fc3325b674b571f4c6e744989852846c0a819f7,new papers,11,0
README.md,README.md,1a04435deea5e169f0ce453fab792bd81f454afc,b76e6fa2104e7c9acb4509caebfb3174dbc7457b,new papers,41,32
README.md,README.md,808731fe698e8e4b00ff88943bf3feba62530fc9,1a04435deea5e169f0ce453fab792bd81f454afc,Dec'22 - Feb'23 update,636,612
README.md,README.md,aa78e24b061af16f2dea1d9218af54e83d158b00,808731fe698e8e4b00ff88943bf3feba62530fc9,March update,14,0
README.md,README.md,5dd8944cc07116f7e301c044b47649220bb2142a,aa78e24b061af16f2dea1d9218af54e83d158b00,Update README.md,1,0
README.md,README.md,0cbb2a50e72648435a69c38a1030f7b710f7bc42,dbb9130543b0fe4e41555085a3839385c56e72bd,chore: april '23 update,17,1
README.md,README.md,37c3489b6beba9a69d166dd1b66829b62b675be8,0cbb2a50e72648435a69c38a1030f7b710f7bc42,chore: july '23 update now with more AI,32,0
README.md,README.md,709f94f038fa0b31c3ccd8dd6b79f0c33e9fcca5,37c3489b6beba9a69d166dd1b66829b62b675be8,feat: ToC,713,695
README.md,README.md,c9f7c6243c9265670ad517fc4d440ca22967e55e,709f94f038fa0b31c3ccd8dd6b79f0c33e9fcca5,chore: oktober'23 update,26,0
README.md,README.md,baf85ffeb48bdad23fdbb4ca926e69d20b95d149,c9f7c6243c9265670ad517fc4d440ca22967e55e,new papers,776,733
README.md,README.md,3cdea345978f5357105e8e8251100bfb96a47a5e,e54a728cd4431af04c80ab1a521c5e92c073dc4b,Update paper link,1,1
README.md,README.md,54116d76dadb0c46ab33a7f02c9fd8bd37d5221f,481919a12e36e57e808fe948f02b65ef484521b6,Fix paper url,1,1
README.md,README.md,1ffa744773ef7f059072b1266376e1624fa6029f,6fdc4c0bec8deaef41d7bfab036a1d22d3b6f20b,Dec'24 update,75,1
README.md,README.md,c5dc7a73ced49d11fa7cba7b7d661b3b10b316da,bc0c71f29af3d13cb71ae7d53ff3e1832d76bcd5,feat: automatically check links for availability,781,783
